variable,0,1,2,3,4,5,6
1,136,116,229,192,91,53,47
2,76,59,93,140,66,45,24
3,81,72,124,116,93,39,33
4,81,94,175,198,82,55,67
5,102,124,214,232,128,71,69
6,96,122,225,228,130,80,69
7,114,138,218,244,145,77,85
8,120,156,202,260,160,91,93
9,123,137,221,242,148,67,89
10,111,153,222,258,144,77,92
11,97,165,222,244,153,76,74
12,99,131,192,250,132,71,93
13,123,136,210,207,165,83,103
14,97,140,195,247,150,63,92
15,109,132,196,194,128,72,98
16,100,125,199,193,112,85,108
17,102,139,192,210,139,77,91
18,75,122,164,170,104,81,104
19,77,154,167,197,123,88,70
20,70,115,161,170,134,81,96
21,92,116,177,162,103,81,85
22,62,108,153,165,120,71,85
23,68,117,154,154,131,61,88
24,67,110,134,143,101,64,57
25,71,107,153,147,99,70,91
26,86,100,133,133,91,76,89
27,81,119,124,145,78,74,79
28,61,99,124,114,88,58,74
29,75,93,103,125,85,70,62
30,68,82,106,107,87,52,65
31,57,90,117,94,78,52,61
32,55,83,111,112,65,38,64
33,62,85,112,119,59,52,48
34,51,59,94,82,64,45,63
35,46,97,107,86,61,47,57
36,58,76,107,93,56,40,46
37,45,64,84,64,61,37,43
38,51,60,86,57,64,40,46
39,59,70,94,69,50,36,50
40,43,63,59,81,61,25,29
41,47,65,69,84,65,43,42
42,47,54,63,65,53,27,55
43,47,54,77,60,40,34,50
44,42,61,64,56,30,36,39
45,36,42,59,71,41,32,44
46,45,45,62,66,43,30,35
47,32,47,52,63,40,24,35
48,44,38,56,56,39,22,43
49,41,40,55,47,49,26,36
50,28,35,47,46,39,19,33
51,31,39,44,39,33,30,31
52,29,48,46,35,28,25,27
53,27,31,50,23,35,21,32
54,26,26,38,40,39,18,33
55,25,33,32,36,34,21,27
56,23,32,29,36,24,23,31
57,29,33,28,41,23,23,25
58,26,41,37,24,30,21,21
59,23,35,30,31,21,20,26
60,27,34,32,29,21,28,21
61,23,30,29,28,10,13,24
62,24,30,30,20,19,18,17
63,19,25,25,16,19,15,18
64,24,30,28,22,17,16,18
65,28,26,36,22,21,9,24
66,20,18,21,16,13,12,21
67,32,14,24,20,9,9,22
68,18,18,27,16,11,7,10
69,16,26,26,18,15,15,13
70,15,23,12,17,17,5,17
71,10,22,21,20,18,12,9
72,22,26,18,15,8,10,9
73,20,24,21,11,20,12,7
74,14,21,26,23,13,12,13
75,10,15,17,11,12,10,5
76,15,14,19,12,12,10,9
77,22,18,20,13,11,5,9
78,18,17,7,14,12,6,6
79,14,18,19,11,13,2,7
80,17,11,14,13,14,8,8
81,14,13,9,9,8,3,13
82,10,18,13,12,6,4,6
83,13,18,9,12,8,3,9
84,15,14,12,14,7,6,4
85,14,17,15,11,10,9,11
86,15,16,8,7,12,4,7
87,12,18,8,12,8,4,4
88,15,14,6,10,8,2,11
89,9,13,6,10,7,5,6
90,9,9,7,9,9,3,10
91,9,8,11,7,7,3,5
92,6,3,10,7,8,2,8
93,7,11,8,13,7,5,5
94,4,7,8,8,9,9,1
95,8,7,9,4,3,6,4
96,9,11,5,3,1,1,1
97,4,16,2,1,5,5,8
98,5,7,4,3,3,6,7
99,9,11,3,4,6,4,3
100,4,15,11,4,6,1,5
101,5,10,5,5,5,1,7
102,10,5,8,8,3,3,5
103,3,5,7,5,3,1,8
104,5,7,6,7,4,2,3
105,3,4,4,2,3,1,3
106,7,7,10,3,1,2,4
