expression,0,1,2,3,4,5,6
Bach,1,0,0,6,1,1,0
Balzac,1,8,8,22,4,2,3
Barrès,0,1,2,0,1,0,4
Boileau,0,1,0,0,0,0,0
Chateaubriand,0,14,0,8,3,1,1
Claudel,0,2,1,0,0,0,0
Corneille,0,2,3,0,0,0,0
Daudet,0,1,0,0,1,0,1
Flaubert,0,1,1,1,0,0,2
Maupassant,0,0,0,0,0,0,0
Maurras,0,1,0,0,0,0,2
Molière,1,4,4,7,1,0,3
Nietzsche,0,3,1,0,1,0,2
Racine,5,16,8,9,0,1,0
Rousseau,3,0,1,0,1,0,0
Sade,0,0,0,0,0,0,0
Saint-Simon,7,2,5,3,5,4,7
Sand,5,0,0,0,2,1,4
Schopenhauer,0,0,0,0,0,0,2
Voltaire,0,1,1,2,0,0,1
Wagner,3,3,7,6,11,2,2
