expression,0,1,2,3,4,5,6
Albertine,0,159,49,319,502,392,72
Andrée,0,83,1,26,79,72,10
Bergotte,35,139,31,17,42,7,30
Berma,7,63,39,2,0,2,41
Bloch,12,137,156,54,30,12,84
Brichot,16,1,3,140,99,3,48
Cambremer,22,13,19,273,10,30,23
Charlus,28,40,126,548,334,32,180
Cottard,56,69,16,195,15,4,19
Elstir,0,90,32,24,17,7,14
Forcheville,98,5,1,1,1,34,35
Françoise,171,94,165,70,124,89,82
Gilberte,100,284,11,22,23,146,117
Guermantes,100,45,808,262,89,137,302
Marcel,0,0,0,0,5,0,0
Morel,0,0,10,236,195,6,64
Norpois,0,118,116,6,2,33,26
Odette,263,99,2,37,11,13,17
Robert,2,24,181,49,4,51,65
Saint-Loup,3,134,281,82,11,122,147
Swann,694,456,110,139,60,93,92
Verdurin,259,45,7,427,288,28,119
Villeparisis,7,105,208,27,18,20,12
Vinteuil,80,12,2,30,141,31,10
