-on n'arrive===1
1 ne===1
10 heures===3
14 juillet===1
2 se===1
20 couverts===1
28 jours===1
4 et===1
500 francs===2
6 heures===2
6 à===1
7 un===1
70 en===2
9 heures===1
A 6===1
A Combray===1
A Doncières===1
A Paris===1
A cause===3
A ce===10
A certains===1
A ces===1
A cet===2
A défaut===1
A l'oeil===1
A l'égard===1
A l'étage===1
A la===6
A moi===1
A moins===2
A n'importe===1
A partir===5
A peine===3
A peuplé===1
A propos===3
A quel===1
A quelle===1
A quoi===1
A supposer===1
A telle===1
A tout===2
A vrai===2
A-t-elle mis===1
A-t-elle écrit===1
Ab uno===1
Abner que===1
Absente d'elle-même===1
Absorbé dans===1
Accroché à===1
Adalbert eût===1
Adieu les===1
Adieu pour===1
Affaires politiques===1
Affaires étrangères===1
Aimé comme===1
Aimé de===1
Aimé desquels===1
Aimé lui-même===1
Aimé pour===1
Ainsi donc===1
Ainsi elle===1
Ainsi en===1
Ainsi la===1
Ainsi les===1
Ainsi ma===1
Ainsi son===1
Ainsi toute===1
Albaret plus===1
Albertine Simonet===1
Albertine adoptait===1
Albertine allait===1
Albertine arrêtée===1
Albertine au===2
Albertine autrefois===1
Albertine avait===6
Albertine c'est===1
Albertine cette===1
Albertine craignit===1
Albertine d'un===2
Albertine dans===2
Albertine de===2
Albertine des===1
Albertine devait===1
Albertine dire===1
Albertine disait===1
Albertine du===1
Albertine elle-même===1
Albertine en===4
Albertine est===2
Albertine et===11
Albertine eût===1
Albertine faisait===1
Albertine fit===1
Albertine incitait===1
Albertine je===1
Albertine jusqu'à===1
Albertine l'ayant===1
Albertine les===3
Albertine m'attendrait===1
Albertine m'avait===2
Albertine m'écrivit===1
Albertine maintenant===1
Albertine me===6
Albertine n'avait===1
Albertine ne===7
Albertine parce===1
Albertine partie===1
Albertine pour===1
Albertine qu'elle===1
Albertine qu'il===2
Albertine quand===3
Albertine que===2
Albertine quelque===1
Albertine qui===3
Albertine recommençait===1
Albertine répondit===1
Albertine s'était===1
Albertine sans===1
Albertine sembla===1
Albertine sentant===1
Albertine si===2
Albertine sur===2
Albertine tout===1
Albertine un===1
Albertine venait===1
Albertine vient-elle===1
Albertine vint===1
Albertine à===4
Albertine était===3
Allons bon===1
Allons trouver===1
Alors Mme===1
Alors au===1
Alors d'un===1
Alors elle===2
Alors il===2
Alors j'entrais===1
Alors je===3
Alors le===1
Alors ma===1
Alors maman===1
Alors pour===1
Alphonse de===1
Altesse Impériale===1
Altesse Monseigneur===1
Altesse Royale===1
Altesse est===2
Altesses et===1
Altesses possibles===1
Altesses sans===1
Amanien vient===1
Ambressac étant===1
Amphiétès a===1
Américaine entra===1
Andromède qu'aucun===1
Andrée avaient===1
Andrée avait===1
Andrée cependant===1
Andrée demanda===1
Andrée devant===1
Andrée dit===1
Andrée et===1
Andrée quelque===1
Andrée qui===2
Andrée vint===1
Andrée à===1
Andrée était===1
Anges se===1
Anglais de===1
Anglais nous===3
Anglais sans===1
Antiques avec===1
Anéanti par===1
Après avoir===1
Après le===1
Après qu'on===1
Après tout===1
Après une===1
Argonaute ne===1
Arpajon je===1
Arrivé devant===1
Arrivée à===1
Assez loin===1
Assez souvent===1
Athalie et===1
Athalie quand===1
Athénè Hippia===1
Attendant sa===1
Au bout===3
Au contraire===4
Au directeur===1
Au fond===2
Au fur===1
Au lieu===1
Au moins===1
Au moment===4
Au même===1
Au nom===1
Au reste===6
Au revoir===1
Aubrais en===1
Augustin Thierry===1
Aujourd'hui je===1
Aussi Mme===1
Aussi avait-elle===1
Aussi ce===1
Aussi ces===1
Aussi craignait-il===1
Aussi disait-il===1
Aussi je===3
Aussi l'année===1
Aussi la===1
Aussi le===2
Aussi mes===1
Aussi monsieur===1
Aussi ne===2
Aussi offris-je===1
Aussi peuvent-elles===1
Aussi pouvais-je===1
Aussi rencontre-t-on===1
Aussi tous===1
